product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
3778897,0,가구,수납침대,159000.0,624,68,622,600,146101000,560,432,92,600,21,0.09826589595375723,0.8244274809160306,0.035,0.19479536290322583,0.9709766530296164,0.674102505503363
2510855,0,가구,수납침대,198900.0,765,72,510,488,171649300,698,207,410,488,21,0.08602150537634409,0.3354943273905997,0.0430327868852459,0.267496942755156,0.22198125672920502,0.741468424773422
1646077,0,가구,수납침대,179000.0,780,56,503,492,141643000,724,473,201,492,11,0.06698564593301436,0.701780415430267,0.022357723577235773,0.08037511473905061,0.7830939399097872,0.8461994983526236
231324,0,가구,수납침대,204900.0,730,67,487,459,155818600,658,283,320,459,26,0.08406524466750313,0.4693200663349917,0.05664488017429194,0.39069462014196354,0.42698854996164637,0.7522313369943101
3767746,0,가구,수납침대,149000.0,1064,58,484,467,239898000,1001,531,411,467,16,0.05169340463458111,0.5636942675159236,0.034261241970021415,0.188109155902466,0.5715601375178792,0.9303340158082207
3325301,0,가구,수납침대,199000.0,681,77,473,455,137378400,0,0,0,455,16,0.10158311345646438,,0.035164835164835165,0.19628722084367245,,0.6558519110719162
3546950,0,가구,수납침대,289000.0,809,118,463,422,237802700,0,0,0,422,31,0.1272923408845739,,0.07345971563981042,0.5428790513682923,,0.5144054480186679
853866,0,가구,수납침대,379000.0,839,84,428,402,309072600,0,0,0,402,24,0.09100758396533044,,0.05970149253731343,0.4183588107847857,,0.7140361270550337
1783089,0,가구,수납침대,295000.0,507,43,409,392,156237100,462,297,109,392,17,0.07818181818181819,0.7315270935960592,0.04336734693877551,0.27052491359447006,0.8286627970035604,0.7846006436707158
3953680,0,가구,수납침대,199000.0,907,257,405,391,184922000,650,81,344,391,14,0.22079037800687284,0.19058823529411764,0.03580562659846547,0.2020867708934906,0.0,0.0
3909295,0,가구,수납침대,149000.0,714,29,386,371,148378000,685,386,273,371,15,0.039030955585464336,0.5857359635811836,0.04043126684636118,0.24395161290322578,0.6053257530432211,1.0
2276696,0,가구,수납침대,219000.0,447,21,378,371,105858000,430,307,87,371,5,0.04487179487179487,0.7791878172588832,0.013477088948787063,0.0,0.9016741327053938,0.967864998642059
1841551,0,가구,수납침대,359000.0,669,95,350,326,236888800,0,0,0,326,23,0.1243455497382199,,0.0705521472392638,0.5165637987334256,,0.5306180388549321
3666397,0,가구,수납침대,219000.0,502,70,330,319,121294000,436,226,177,319,11,0.12237762237762238,0.5607940446650124,0.034482758620689655,0.19011401557285873,0.5671172938532293,0.5414451384043293
3104914,1,가구,일반의자/인테리어의자,180000.0,178,38,177,152,43740000,0,0,0,152,23,0.17592592592592593,,0.1513157894736842,1.0,,0.4620911114245858
3104886,1,가구,일반의자/인테리어의자,160000.0,43,5,41,40,9600000,0,0,0,40,0,0.10416666666666667,,0.0,0.0,,0.7004029129637466
2281970,1,가구,책상서랍장,119000.0,116,6,115,113,15842000,0,0,0,113,2,0.04918032786885246,,0.017699115044247787,0.1550442477876106,,0.9332188564835932
574524,0,가구,일반소파,268900.0,2604,254,2595,2516,718879600,2363,504,1494,2516,70,0.08887333799860042,0.25225225225225223,0.02782193958664547,0.09802686534989626,0.18310942642401382,0.774690733275885
1502238,0,가구,일반소파,648900.0,2773,286,1765,1708,1319230300,2497,487,1668,1708,47,0.09349460608041844,0.2259860788863109,0.027517564402810304,0.09653723256460128,0.15049074601969537,0.7558678060030255
2720406,0,가구,일반소파,499000.0,2682,342,1584,1491,985751000,0,0,0,1491,84,0.1130952380952381,,0.056338028169014086,0.23758653616614944,,0.676032301032301
1435924,0,가구,일반소파,449000.0,2021,132,1285,1248,688961000,1888,1086,653,1248,35,0.06130980027868091,0.6244968372627947,0.028044871794871796,0.09911791069100392,0.6453818321350574,0.8869600188267587
1443526,0,가구,일반소파,299000.0,1335,83,1151,1135,394618000,1253,1032,102,1135,16,0.05853314527503526,0.91005291005291,0.014096916299559472,0.030855670872844024,1.0,0.8982696365053078
